ticker,snapshot_date,rvol,volume_zscore,vol_price_divergence,vol_spike_days,vol_trend_slope_norm,log_return_1d,price_vs_sma20,rsi_14,bb_width,gap_open,range_expansion,buzz_density,extreme_language_ratio,moderate_hype_ratio,bearish_ratio,source_diversity,headline_similarity,catalyst_flag,hype_without_catalyst,news_volume_sync,silent_spike,pseudo_label,hype_score_raw
BBBY,2024-06-25,1.216,0.734,-3.492,0,0.023661,-0.04822,-13.11,23.86,24.626,-0.683,0.732,3.75,0.0,0.0,0.0,0.5,0.165,0,0,0,0,NEUTRAL,0.4442
RIVN,2024-08-14,0.594,-1.47,-1.548,0,-0.111709,-0.02165,-13.971,25.45,35.35,0.295,0.592,3.75,0.033,0.0,0.033,0.3,0.06,0,0,0,0,NEUTRAL,0.4076
WFC,2024-10-14,1.673,1.198,-0.245,1,0.337316,0.019,10.208,80.53,15.137,0.459,1.981,3.75,0.0,0.0,0.033,0.4,0.088,0,0,0,0,ORGANIC,0.167
AVGO,2024-03-25,0.526,-0.943,0.386,2,-0.021852,-0.0014,3.362,51.97,16.841,-0.624,0.489,3.75,0.0,0.033,0.0,0.633,0.125,0,0,0,0,NEUTRAL,0.4237
AA,2023-09-22,0.816,-0.336,-0.907,0,0.023634,0.01708,-2.478,37.42,12.545,1.435,0.657,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3995
PFE,2024-02-23,0.759,-0.599,-0.003,0,-0.017806,0.00759,1.412,62.77,4.638,0.726,0.782,3.75,0.0,0.033,0.033,0.4,0.083,0,0,0,0,NEUTRAL,0.4081
AA,2024-02-13,1.122,0.335,-6.226,0,0.061982,-0.07632,-9.212,30.74,21.648,-3.584,1.407,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4367
PENN,2024-09-13,2.184,2.698,-6.204,2,0.249065,0.08055,5.35,52.5,17.003,2.179,1.293,3.75,0.0,0.0,0.067,0.467,0.072,0,0,1,0,NEUTRAL,0.4167
MRK,2024-03-05,1.22,0.739,0.237,1,0.097617,-0.00988,-3.229,39.04,5.491,0.508,1.501,3.75,0.0,0.067,0.0,0.433,0.082,1,0,0,0,ORGANIC,0.2095
NFLX,2024-01-12,1.226,0.523,1.211,1,0.17446,-0.00014,1.808,50.38,7.364,1.682,0.758,3.75,0.0,0.033,0.067,0.533,0.101,0,0,0,0,NEUTRAL,0.4137
NVDA,2024-12-23,0.824,-0.724,-2.866,0,-0.064403,0.03623,1.982,49.28,13.158,1.173,0.798,3.75,0.0,0.0,0.033,0.4,0.064,0,0,0,0,NEUTRAL,0.4113
TGT,2025-02-05,0.962,-0.124,0.674,0,0.089217,-0.00288,-1.699,51.39,7.94,-0.302,0.81,3.75,0.0,0.033,0.033,0.467,0.081,0,0,0,0,NEUTRAL,0.3919
BLK,2024-11-21,0.818,-0.446,0.493,1,-0.03288,0.00324,1.048,65.41,10.843,0.982,0.829,3.75,0.033,0.033,0.0,0.467,0.088,0,0,0,0,NEUTRAL,0.3732
COIN,2024-05-14,0.652,-1.168,-1.122,0,0.053268,0.01759,-6.432,40.4,20.348,-1.779,0.918,3.75,0.0,0.067,0.067,0.367,0.044,0,0,0,0,NEUTRAL,0.4382
LLY,2024-05-03,1.671,1.403,-1.099,1,-0.013547,-0.02809,-1.885,45.49,8.921,-1.708,0.888,3.75,0.0,0.033,0.0,0.4,0.132,0,0,0,0,NEUTRAL,0.3526
BBBY,2023-11-10,0.504,-1.146,-1.558,0,-0.086345,0.02041,-0.901,52.86,22.095,0.0,0.557,3.75,0.0,0.0,0.0,0.5,0.165,0,0,0,0,NEUTRAL,0.4146
NFLX,2024-06-13,0.69,-1.23,0.198,0,0.000148,0.00491,1.747,60.83,6.908,-0.932,0.909,3.75,0.0,0.033,0.067,0.533,0.101,0,0,0,0,NEUTRAL,0.3679
BB,2024-12-23,1.281,0.535,-1.429,2,0.19234,0.02674,33.169,78.54,51.444,-0.542,0.645,3.75,0.0,0.0,0.067,0.4,0.088,0,0,0,0,HYPE,0.7703
DIS,2024-08-05,1.722,1.979,-0.276,1,0.212797,-0.02019,-6.466,23.07,14.289,-2.992,1.695,3.75,0.0,0.0,0.0,0.333,0.109,0,0,0,0,NEUTRAL,0.4165
INTC,2024-07-05,1.195,0.521,-1.335,1,-0.001721,0.02498,3.868,69.5,4.727,0.544,1.642,3.75,0.033,0.233,0.0,0.6,0.093,0,0,0,0,NEUTRAL,0.4802
SBUX,2024-11-12,1.011,0.028,-0.495,0,0.01889,-0.01517,1.582,54.69,4.839,-0.179,0.936,3.75,0.0,0.0,0.0,0.7,0.087,0,0,0,0,NEUTRAL,0.4168
PINS,2024-05-23,0.474,-0.734,0.28,0,0.008021,-0.00194,1.744,58.17,30.07,0.677,1.046,3.75,0.0,0.067,0.1,0.333,0.064,0,0,0,0,NEUTRAL,0.3674
BA,2023-07-25,1.378,1.524,0.567,0,0.053191,-0.00814,0.557,51.32,4.856,-0.774,1.005,3.75,0.0,0.0,0.0,0.433,0.133,0,0,0,0,NEUTRAL,0.4539
BMY,2024-08-23,0.594,-1.358,-0.435,0,-0.002221,0.01024,-0.078,53.36,7.755,0.105,0.787,3.75,0.0,0.0,0.033,0.433,0.155,1,0,0,0,ORGANIC,0.2056
BA,2023-10-23,0.732,-0.99,0.183,0,-0.065287,0.00548,-3.829,37.27,9.921,-0.333,1.137,3.75,0.0,0.0,0.0,0.433,0.133,0,0,0,0,NEUTRAL,0.3625
SNOW,2023-08-03,1.56,1.668,-0.597,0,0.155574,-0.0218,-8.141,34.19,16.172,-0.693,0.989,3.75,0.0,0.0,0.033,0.5,0.095,0,0,0,0,NEUTRAL,0.3684
MRK,2023-12-01,0.843,-0.248,-0.114,1,0.240343,0.00952,1.097,60.18,4.347,0.361,0.648,3.75,0.0,0.067,0.0,0.433,0.082,1,0,0,0,ORGANIC,0.1749
GME,2024-11-12,2.347,1.709,0.806,4,0.565575,-0.01553,18.816,82.41,33.899,-4.402,1.319,3.75,0.033,0.033,0.033,0.433,0.079,0,0,1,0,HYPE,0.8425
UAL,2024-01-03,1.283,1.013,-1.64,0,0.161506,-0.02966,-4.92,42.16,10.587,-1.621,1.396,3.75,0.0,0.067,0.1,0.467,0.067,0,0,0,0,NEUTRAL,0.3959
EOG,2023-12-21,0.991,-0.025,0.703,1,-0.164573,-0.00289,0.762,47.07,6.926,0.189,0.872,3.75,0.033,0.067,0.0,0.433,0.104,0,0,0,0,NEUTRAL,0.4097
AI,2024-02-13,1.558,1.157,-6.267,2,0.248104,-0.08149,10.679,62.19,27.036,-6.831,1.14,3.75,0.0,0.033,0.067,0.333,0.099,0,0,0,0,HYPE,0.7719
DKNG,2023-12-21,1.011,0.032,-1.38,0,-0.087777,0.02363,-4.414,31.81,15.428,1.05,0.528,3.75,0.0,0.033,0.033,0.467,0.087,0,0,0,0,NEUTRAL,0.3775
AI,2023-09-22,0.748,-0.526,-3.697,0,0.033231,-0.04546,-14.299,15.02,28.81,0.936,1.438,3.75,0.0,0.033,0.067,0.333,0.099,0,0,0,0,NEUTRAL,0.4061
ADBE,2023-07-25,0.826,-0.385,0.544,1,-0.094484,0.00282,4.113,72.24,14.216,-0.848,0.764,3.75,0.0,0.0,0.0,0.567,0.083,0,0,0,0,NEUTRAL,0.3473
SPCE,2024-10-23,1.133,0.333,-2.273,2,0.032337,-0.03465,9.102,71.72,35.198,-0.681,0.88,3.75,0.167,0.033,0.0,0.6,0.078,0,0,0,0,HYPE,0.775
DIS,2023-07-25,1.014,0.037,-0.106,1,-0.033373,-0.01126,-2.957,34.93,7.316,-1.005,0.667,3.75,0.0,0.0,0.0,0.333,0.109,0,0,0,0,NEUTRAL,0.4026
PG,2025-01-27,1.285,0.695,-2.091,2,-0.247246,0.0332,4.197,61.62,9.517,1.584,1.563,3.75,0.0,0.0,0.033,0.5,0.089,0,0,0,0,NEUTRAL,0.4105
BB,2023-09-13,1.268,0.303,-2.303,2,-0.018348,0.03509,10.101,63.66,40.588,0.188,1.135,3.75,0.0,0.0,0.067,0.4,0.088,0,0,0,0,HYPE,0.7977
DIS,2023-09-22,0.724,-0.823,-1.065,0,-0.049747,-0.01805,-2.054,48.43,7.077,0.218,1.19,3.75,0.0,0.0,0.0,0.333,0.109,0,0,0,0,NEUTRAL,0.4656
EOG,2024-03-14,0.767,-1.068,-0.228,0,-0.030598,0.0099,6.285,97.83,11.62,0.563,0.703,3.75,0.033,0.067,0.0,0.433,0.104,0,0,0,0,ORGANIC,0.2244
COIN,2024-06-13,0.912,-0.555,-1.959,0,0.036847,-0.02913,5.09,62.13,26.044,-0.467,0.907,3.75,0.0,0.067,0.067,0.367,0.044,0,0,0,0,NEUTRAL,0.3929
UPST,2024-05-23,0.777,-0.424,-4.032,2,-0.001912,-0.04928,-6.793,47.09,28.762,-0.247,0.949,3.75,0.0,0.033,0.033,0.333,0.073,0,0,0,0,NEUTRAL,0.4161
AFRM,2023-10-12,0.916,-0.341,-6.684,0,-0.009351,-0.07905,-9.151,41.79,42.282,0.348,1.233,3.75,0.0,0.033,0.0,0.3,0.121,0,0,0,0,NEUTRAL,0.4353
FCX,2024-01-03,1.119,0.237,-0.592,0,0.140968,-0.01725,2.167,68.76,24.28,-2.661,1.601,3.75,0.0,0.067,0.0,0.6,0.087,0,0,0,0,NEUTRAL,0.4184
RIOT,2025-02-26,1.04,0.115,-3.037,0,0.05179,-0.04163,-20.93,23.08,33.128,-1.073,1.223,3.75,0.033,0.033,0.0,0.567,0.069,0,0,0,0,NEUTRAL,0.3365
NCLH,2024-05-14,1.801,1.256,0.412,3,0.128874,-0.01399,-10.258,17.22,35.186,0.063,0.663,3.75,0.0,0.033,0.067,0.5,0.123,0,0,1,0,NEUTRAL,0.397
KO,2025-01-15,0.979,-0.042,0.544,0,-0.013407,-0.00436,-0.516,44.68,4.371,0.467,1.059,3.75,0.0,0.033,0.0,0.467,0.109,0,0,0,0,NEUTRAL,0.3189
UAL,2023-11-01,0.837,-0.266,0.266,0,-0.017388,-0.00573,-7.008,26.7,29.398,0.0,0.921,3.75,0.0,0.067,0.1,0.467,0.067,0,0,0,0,NEUTRAL,0.4268
UNH,2023-11-01,0.989,-0.042,0.25,0,0.000785,-0.00742,0.518,54.99,4.579,-1.042,1.088,3.75,0.033,0.067,0.0,0.533,0.097,0,0,0,0,NEUTRAL,0.3602
GM,2024-03-25,0.781,-0.268,-0.357,1,-0.053861,0.01132,6.557,66.82,13.389,0.0,0.844,3.75,0.0,0.067,0.033,0.533,0.089,0,0,0,0,NEUTRAL,0.388
BBBY,2024-01-03,0.667,-1.144,-4.6,0,-0.05715,-0.05411,0.026,61.2,32.699,-2.914,0.889,3.75,0.0,0.0,0.0,0.5,0.165,0,0,0,0,NEUTRAL,0.4242
NFLX,2024-05-03,0.732,-0.363,-1.779,1,0.028867,0.0248,-1.31,41.9,20.686,0.15,0.953,3.75,0.0,0.033,0.067,0.533,0.101,0,0,0,0,NEUTRAL,0.4318
CHWY,2023-09-01,1.618,0.757,-1.259,2,0.484001,0.02837,-11.899,22.44,33.774,0.876,0.879,3.75,0.0,0.067,0.067,0.433,0.088,0,0,0,0,NEUTRAL,0.4698
GE,2024-02-13,1.328,0.952,0.186,0,0.097996,0.01135,5.762,88.69,13.363,-0.243,1.448,3.75,0.0,0.067,0.0,0.467,0.122,0,0,0,0,ORGANIC,0.1774
AFRM,2023-07-14,0.973,-0.069,-5.101,0,-0.028874,-0.06267,5.199,58.84,25.824,-0.688,1.267,3.75,0.0,0.033,0.0,0.3,0.121,0,0,0,0,HYPE,0.774
